ProbeID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Symbol	Name
TC0500008785.hg.1	-1.2326657263686827	5.35701454872451	-7.54934902316016	3.700595940527138e-7	0.007912976272331226	5.663349687187045	 EGR1 	 early growth response 1 
TC1400008940.hg.1	-0.6322588331116811	7.10355818436969	-7.196098086840555	7.378754450141017e-7	0.007912976272331226	5.150997454705058	 NFKBIA 	 nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha 
TC1700006772.hg.1	-0.4571874814645476	5.542600006007136	-6.965211075582114	1.1690517520822817e-6	0.008357940659553592	4.804171435447179	 KDM6B 	 lysine (K)-specific demethylase 6B 
TC0500011448.hg.1	-0.47594117164933614	5.55883377496179	-6.719730647548882	1.921947161206948e-6	0.010305480678391656	4.425004476094699	 ARRDC3 	 arrestin domain containing 3 
TC0600009597.hg.1	-0.8457616826202174	5.693785500620046	-6.3787809295566955	3.88524391464314e-6	0.016666142296253215	3.8805911987985375	 TNFAIP3 	 tumor necrosis factor, alpha-induced protein 3 
TC0100011770.hg.1	0.3436465672343461	6.9765818198480405	6.037496935558736	7.979976296965475e-6	0.023357025009907034	3.3151853033439718	 EPHX1 	 epoxide hydrolase 1, microsomal (xenobiotic) 
TC0100011533.hg.1	-0.5572990061021564	4.741285088902908	-6.02851447553004	8.134216572633173e-6	0.023357025009907034	3.3000321749030377	 ATF3 	 activating transcription factor 3 
TC0600014271.hg.1	-0.49330136359409116	5.401727852071504	-5.996352469207032	8.712057071953389e-6	0.023357025009907034	3.2456630219600004	 NOTCH4 	 notch 4 
TC0100014349.hg.1	-0.3720006117593262	5.616041990829191	-5.852218762908409	1.1867917202884146e-5	0.02552959476947511	2.9998581718123134	 JUN 	 jun proto-oncogene 
TC0300009282.hg.1	-0.5770748098300964	6.505554653644866	-5.7740486028696285	1.4049020838261591e-5	0.02552959476947511	2.8650944922448485	 TIPARP 	 TCDD-inducible poly(ADP-ribose) polymerase 
TC0500012870.hg.1	-0.3497116372731311	5.70238781445674	-5.749933717342323	1.4801778501264479e-5	0.02552959476947511	2.8233174226781	 STC2 	 stanniocalcin 2 
TC0400008091.hg.1	0.35116847935678325	6.260756332346404	5.723137109004214	1.5686919857476127e-5	0.02552959476947511	2.7767827679143124	 SPP1 	 secreted phosphoprotein 1 
TC0200016424.hg.1	0.5014487806712307	5.870488113256089	5.71409969792871	1.5997530091733444e-5	0.02552959476947511	2.7610620907181254	 LBH 	 limb bud and heart development 
TC0700012684.hg.1	0.29677672031375874	8.47924741090153	5.695294320662823	1.666422635083232e-5	0.02552959476947511	2.728307355944944	 AKR1B1 	 aldo-keto reductase family 1, member B1 (aldose reductase) 
TC1100007262.hg.1	0.3411473291591986	5.0909411935277555	5.4270281319511176	2.996781284102964e-5	0.042849976654293576	2.254916607187152	 EHF 	 ets homologous factor 
TC0200016651.hg.1	-0.44242093662418336	6.046625957576223	-5.385850169731084	3.2815783140585384e-5	0.043989557299954705	2.181264568039648	 CYP1B1 	 cytochrome P450, family 1, subfamily B, polypeptide 1 
TC0300012900.hg.1	-0.345654300499385	5.459427820233463	-5.246830438156255	4.464407235712988e-5	0.05632506258327775	1.9307480145524814	 TIPARP 	 Memczak2013 ANTISENSE, CDS, coding, INTERNAL best transcript NM_001184717 
TC0100018484.hg.1	-0.4271413730976755	6.780502806485735	-5.178601290939621	5.1961722291028704e-5	0.06102651400399548	1.8067754254965207	 MCL1 	 myeloid cell leukemia 1 
TC0400007836.hg.1	-0.440942416761129	5.31276797950107	-5.160830387716865	5.406116029820562e-5	0.06102651400399548	1.7743781760728305	 CXCL8 	 chemokine (C-X-C motif) ligand 8 
TC0700007034.hg.1	-0.3213796172327139	4.854941638198962	-5.101753344691143	6.16828672562446e-5	0.0644623337157957	1.6663647428515054	 CREB5 	 cAMP responsive element binding protein 5 
TC0900007576.hg.1	0.26106358331755447	7.990789430458106	5.091481292374662	6.311586199327255e-5	0.0644623337157957	1.6475353411554998	 ANXA1 	 annexin A1 
TC1300008329.hg.1	-0.34542735590085655	5.5810149891350465	-5.0527895809582475	6.88248454298339e-5	0.06658803813195323	1.576483739036294	 SACS 	 sacsin molecular chaperone 
TC0700010965.hg.1	0.33435796018089425	6.49353681018632	5.024948235589133	7.325584637619052e-5	0.06658803813195323	1.5252345833622174	 IGFBP3 	 insulin like growth factor binding protein 3 
TC0100018417.hg.1	0.28558662771471316	4.648194523213179	5.017372535862451	7.451104602605733e-5	0.06658803813195323	1.5112720059378102	 ALDH4A1 	 aldehyde dehydrogenase 4 family, member A1 
TC0600014220.hg.1	0.3670034083519699	5.436954611122389	4.970974304079766	8.269094952731e-5	0.0709422194184698	1.4255950080669688	 SERPINB9 	 serpin peptidase inhibitor, clade B (ovalbumin), member 9 
TC1200007731.hg.1	0.37159480731094746	4.79551052204231	4.898947618855718	9.72389522451212e-5	0.08021465568282152	1.2920552777646606	 HOXC13 	 homeobox C13 
TC0600014251.hg.1	-0.25535973100565773	4.051844838210845	-4.784753371850439	1.258341930813549e-4	0.09995895456329258	1.0790524015558827	 ZBED9 	 zinc finger, BED-type containing 9 
TC1100009049.hg.1	-0.3329321699825741	5.399298862978	-4.749549275763725	1.362698636889804e-4	0.10438271558575898	1.0130846765410748	 C11orf57 	 chromosome 11 open reading frame 57 
TC0900011393.hg.1	-0.38821024706789614	5.193590918749856	-4.718772157871672	1.4611046966381394e-4	0.10440582315074043	0.9553005317331307	 TRAF1 	 TNF receptor-associated factor 1 
TC0600008379.hg.1	-0.37185539982966664	7.415562017870812	-4.714307264767829	1.4759672368021745e-4	0.10440582315074043	0.9469091562817873	 MTRNR2L9 	 MT-RNR2-like 9 
TC0900012277.hg.1	0.3153932149282594	4.965250601020596	4.685022337947153	1.5773220109069477e-4	0.10440582315074043	0.8918180673094867	 AK1 	 adenylate kinase 1 
TC0900008790.hg.1	-0.27798625290705836	5.07609568933078	-4.681000065985389	1.5917834492634167e-4	0.10440582315074043	0.8842442682913738	 ZBTB43 	 zinc finger and BTB domain containing 43 
TC0X00009917.hg.1	0.26731495819887224	5.600104575341187	4.670618980462584	1.6297307088570858e-4	0.10440582315074043	0.8646892561871402	 EDA2R 	 ectodysplasin A2 receptor 
TC1000010358.hg.1	-0.3765437488195228	4.509101115939995	-4.6527632332801545	1.697157300129691e-4	0.10440582315074043	0.8310280885715517	 MTRNR2L7 	 MT-RNR2-like 7 
TC0100015206.hg.1	-0.5934034132459264	5.182933611305522	-4.651055978248155	1.7037503777862342e-4	0.10440582315074043	0.8278079091348385	 GNAT2 	 guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 2 
TC0300010913.hg.1	-0.28176559620271774	5.721846050036216	-4.607581302289563	1.8806675038687481e-4	0.10904215542360818	0.745708479665443	 CDCP1 	 CUB domain containing protein 1 
TC0100011064.hg.1	0.3645713814503139	5.073999996080321	4.596703424646849	1.9277714099252588e-4	0.10904215542360818	0.7251370460124766	 CFH 	 complement factor H 
TC1100013189.hg.1	-0.3324289187038698	4.350220375749294	-4.5957561826726225	1.9319292736372204e-4	0.10904215542360818	0.7233451489947118	 CFL1 	 cofilin 1 (non-muscle) 
TC2000009956.hg.1	-0.37923674699300647	4.444399701933583	-4.566590719846092	2.0644872886766707e-4	0.11353621376291598	0.6681308196976223	 PCMTD2 	 protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2 
TC0800008416.hg.1	-0.5369062181785084	4.410482860830555	-4.5459434356490345	2.163856846456924e-4	0.11368159282473353	0.6289941953314244	 GRHL2 	 grainyhead-like transcription factor 2 
TC0500012879.hg.1	-0.4785415186896086	6.2374127864326905	-4.535403387762769	2.216433322320984e-4	0.11368159282473353	0.60900053632853	 BOD1 	 biorientation of chromosomes in cell division 1 
TC1000010961.hg.1	0.3187361594826927	6.398230980199874	4.527958833044679	2.2543449690103182e-4	0.11368159282473353	0.5948727017750146	 PSAP 	 prosaposin 
TC1100009789.hg.1	-0.4135532248103674	5.417961077575206	-4.523157239736051	2.279144205270208e-4	0.11368159282473353	0.5857578710689957	 TH 	 tyrosine hydroxylase 
TC0100013073.hg.1	0.2547506716732875	6.08866724924883	4.498692041812131	2.409848316473702e-4	0.11746915157210899	0.5392839051434635	 SDHB 	 succinate dehydrogenase complex subunit B, iron sulfur (Ip) 
TC1700010679.hg.1	-0.8695363993635707	4.747509668980235	-4.444447683740196	2.727300734532744e-4	0.12970119594165483	0.4360576698588545	 KRT9 	 keratin 9, type I 
