ProbeID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Symbol	Name
TC1900011990.hg.1	0.77149880622797	7.758918725737338	7.6536243881239585	3.681182900101155e-7	0.005944328622499706	6.308286693526692	 RPL18 	 ribosomal protein L18 
TC0200013902.hg.1	-0.6550436480286168	6.112740008107225	-7.377382158283246	6.207537130758005e-7	0.005944328622499706	5.871904186505602	 RGPD5 	 RANBP2-like and GRIP domain containing 5 
TC0100010360.hg.1	-0.5959132195191805	4.657807637073529	-7.225257486681634	8.313746325174414e-7	0.005944328622499706	5.626113584337614	 HSPA6 	 heat shock 70kDa protein 6 (HSP70B) 
TC1100008392.hg.1	0.7589923050551057	6.632114953889934	6.531230758557486	3.2801609579493944e-6	0.017589863137003628	4.455249336103596	 PLEKHB1 	 pleckstrin homology domain containing, family B (evectins) member 1 
TC1200008113.hg.1	0.5684617743724522	5.439606575119049	6.328383592633565	4.959409490747034e-6	0.021275866715304775	4.097813737250813	 NUP107 	 nucleoporin 107kDa 
TC1700007402.hg.1	0.40558664875875994	4.802106556748873	6.225266751211256	6.131985893433721e-6	0.021921849569025553	3.913521006662701	 FLOT2 	 Memczak2013 ANTISENSE, coding, INTERNAL, UTR3 best transcript NM_004475 
TC1700010679.hg.1	-0.8289878000650688	4.48183093165875	-5.961446836748338	1.0620467020925392e-5	0.026074386366763947	3.434217278671535	 KRT9 	 keratin 9, type I 
TC2000006442.hg.1	-0.6819517797658041	4.443426451051403	-5.952178762877674	1.0829137737295564e-5	0.026074386366763947	3.417178547533303	 NRSN2 	 neurensin 2 
TC0500013002.hg.1	-0.43246890170238295	4.687409577201667	-5.947316135352124	1.0940301972068788e-5	0.026074386366763947	3.408233560786843	 PROP1 	 PROP paired-like homeobox 1 
TC0500011282.hg.1	-0.6079592099555208	7.35356943324407	-5.885282030877954	1.246598655034925e-5	0.02673954115049914	3.2937963742403076	 MTRNR2L2 	 MT-RNR2-like 2 
TC0500010282.hg.1	0.48492801839905997	4.850506596869749	5.639655296249299	2.1001174102094687e-5	0.04095228949908464	2.8349070863764103	 CDH12 	 cadherin 12, type 2 (N-cadherin 2) 
TC1900011030.hg.1	-0.5720686610846913	4.489939757529225	-5.571342240429179	2.431088398289087e-5	0.04131148171462682	2.7056878881468593	 SLC8A2 	 solute carrier family 8 (sodium
TC2000009922.hg.1	0.47932844868414715	5.16865685821628	5.526905370806163	2.6746738903568185e-5	0.04131148171462682	2.6212707233008095	 SGK2 	 serum
TC0X00010787.hg.1	-0.3413604295735099	4.839662623627576	-5.4777480689901985	2.9734523571735866e-5	0.04131148171462682	2.5275591408884877	 APLN 	 apelin 
TC0X00009128.hg.1	0.5276096243767217	4.5717385628708955	5.469048912202953	3.029786983046961e-5	0.04131148171462682	2.5109399996880333	 ACE2 	 angiotensin I converting enzyme 2 
TC1600007960.hg.1	-0.7548740503492752	5.274031952181075	-5.391811977289774	3.580509271469843e-5	0.04131148171462682	2.362923863303757	 MT1M 	 metallothionein 1M 
TC1100006490.hg.1	-0.29219432721948907	4.765346340862989	-5.369128892098002	3.7609789796881594e-5	0.04131148171462682	2.319298932696646	 PANO1 	 proapoptotic nucleolar protein 1 
TC0800008845.hg.1	-0.3041292452000624	6.968623815131585	-5.354140814454851	3.8853091780611725e-5	0.04131148171462682	2.2904351512194117	 MYC 	 v-myc avian myelocytomatosis viral oncogene homolog 
TC0800012432.hg.1	0.3450564525746331	4.439578316637784	5.342014461127528	3.988973550410351e-5	0.04131148171462682	2.267060336336658	 MRPS28 	 mitochondrial ribosomal protein S28 
TC0500012388.hg.1	0.34441951790143527	5.02052055611116	5.314538988139644	4.234450074745508e-5	0.04131148171462682	2.2140258719304855	 DPYSL3 	 dihydropyrimidinase-like 3 
TC0700013075.hg.1	-0.4537942368417964	5.620841139796447	-5.311241839003427	4.264928704813219e-5	0.04131148171462682	2.2076548234006017	 CRYGN 	 crystallin gamma N 
TC0400012126.hg.1	0.34956249477805185	4.776917575836226	5.310556680959131	4.271290362932371e-5	0.04131148171462682	2.206330718945945	 GATB 	 glutamyl-tRNA(Gln) amidotransferase, subunit B 
TC0X00011277.hg.1	0.4823244507598896	4.885400833501059	5.288114220517353	4.48512136414578e-5	0.04131148171462682	2.1629252745384546	 CA5B 	 carbonic anhydrase VB, mitochondrial 
TC1100009196.hg.1	0.5547237475158898	5.870899472885202	5.2649033066769935	4.7178066423693966e-5	0.04131148171462682	2.1179642049806917	 TMPRSS4 	 transmembrane protease, serine 4 
TC2000008955.hg.1	0.3595894025019373	6.297288755483388	5.221949905487365	5.181485811185407e-5	0.04131148171462682	2.0345768204659462	 TRPC4AP 	 transient receptor potential cation channel, subfamily C, member 4 associated protein 
TC0400007840.hg.1	-0.6601752620862207	5.942866191737169	-5.220465388370186	5.1983190108751055e-5	0.04131148171462682	2.0316906340898866	 CXCL1 	 chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha) 
TC0200007872.hg.1	-0.4085154129676989	5.240997970084593	-5.220313306181772	5.200046649393586e-5	0.04131148171462682	2.03139494126681	 ETAA1 	 Ewing tumor-associated antigen 1 
TC1500008269.hg.1	-0.5370235028057049	4.510321187909881	-5.198897705073923	5.449278112615963e-5	0.04164674017427516	1.9897273719739106	 KIF7 	 Memczak2013 ANTISENSE, CDS, coding, INTERNAL best transcript NM_198525 
