ProbeID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Symbol	Name
TC0200016651.hg.1	-1.6004074242596873	5.377900686582141	-8.948015153312813	3.620232863837257e-8	7.474445770034471e-4	8.168537928581166	 CYP1B1 	 cytochrome P450, family 1, subfamily B, polypeptide 1 
TC1100012513.hg.1	-0.4128078760835375	6.724360971601371	-8.569472444286285	6.969830072766198e-8	7.474445770034471e-4	7.648684114943558	 H2AFX 	 H2A histone family, member X 
TC1700010641.hg.1	-0.4291831236999668	7.6809384214517875	-7.974548512283479	2.0245691596384724e-7	0.0010343092533459364	6.785676290250276	 KRT23 	 keratin 23, type I 
TC1500010042.hg.1	-0.8412267491178669	5.348231454384383	-7.952343082839767	2.1086556484931807e-7	0.0010343092533459364	6.752350342096937	 CYP1A1 	 cytochrome P450, family 1, subfamily A, polypeptide 1 
TC1900008824.hg.1	-0.37536939978708056	7.530721409270004	-7.87943196750338	2.411202101235398e-7	0.0010343092533459364	6.642353308611204	 MYADM 	 myeloid-associated differentiation marker 
TC1900011382.hg.1	-0.5175402127737064	6.506660759166708	-7.6118200279593715	3.9680865871332935e-7	0.001418458685347248	6.231060794257909	 MYADM 	 Memczak2013 ANTISENSE, CDS, coding, INTERNAL best transcript NM_001020819 
TC0100015701.hg.1	-0.42904416742005086	6.847836230923969	-6.893814804281613	1.5838444975845352e-6	0.004852899540599016	5.068108007400081	 HIST2H3A 	 histone cluster 2, H3a 
TC1800009242.hg.1	-1.1417411513241755	5.832456899105563	-6.80784059916009	1.8781202580773992e-6	0.004952245089638287	4.923015408666657	 SERPINB2 	 serpin peptidase inhibitor, clade B (ovalbumin), member 2 
TC0500007834.hg.1	-0.421745561828027	6.8685466757578055	-6.757041323161372	2.0780588309746635e-6	0.004952245089638287	4.8366990598638004	 F2RL1 	 coagulation factor II (thrombin) receptor-like 1 
TC0200008930.hg.1	-0.5891572241212997	6.368490689238065	-6.59644496327584	2.867776482379681e-6	0.006150806999407941	4.560964813532825	 SLC20A1 	 solute carrier family 20 (phosphate transporter), member 1 
TC0700011969.hg.1	-0.2896318274049914	6.720635787630936	-6.499059778188557	3.4922466821492882e-6	0.006159090195688018	4.391657062776471	 MCM7 	 minichromosome maintenance complex component 7 
TC1400008054.hg.1	-0.4677366406578414	5.775710024885948	-6.466244806210206	3.7330091765311285e-6	0.006159090195688018	4.334251167357868	 OTUB2 	 OTU deubiquitinase, ubiquitin aldehyde binding 2 
TC1100010483.hg.1	0.5473469861405849	5.856807893758886	6.4662288909215135	3.7331300141712156e-6	0.006159090195688018	4.334223282049491	 CSTF3 	 cleavage stimulation factor, 3 pre-RNA, subunit 3 
TC1600011483.hg.1	-0.3877635637374471	6.786877607866135	-6.282324634941715	5.438616653806722e-6	0.008331960713631898	4.009208545789111	 LITAF 	 lipopolysaccharide-induced TNF factor 
